idx,duration_s,reference,hypothesis,wer,cer,hits,substitutions,deletions,insertions,ref_tokens,rtf,skipped
0,1.86,ég er sammála því ég er sammála því,Ég er svona þið. Ég er svona þið.,75.0,64.29,2,6,0,0,8,4.6909,False
1,2.01,er erfitt að afbóka tíma eða,Er er við þáf búg að tímaða?,100.0,52.17,1,5,0,1,6,3.706,False
2,9.84,af hverju get ég ekki verið einn af þeim en á sama tíma það er sagt að þeir sem finna mest fyrir þessu fái mestu þarna já fá bestu vörnina,af hvernig ekki tí ekki verið eitthvað hún. Ég er ná samma tíma. Ég er sægt þessum fyrnna mest fyrir þessu fá mest því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að því að þ,290.0,181.65,5,25,0,62,30,6.4643,False
3,10.71,nei maður þarf ekki að kunna að synda vel til þess að fara að kaffæra vinum sínum og pissa í laugina,Nei. Að maðar verð að ekki hann að sente að veldi. Það fara kað fara veinu sinnum. Það er uppeisilöjeno.,90.48,63.75,2,18,1,0,21,1.4801,False
4,0.24,já,Hjá.,100.0,100.0,0,1,0,0,1,16.9686,False
5,6.81,þetta er lítill minnihlutahópur örugglega ef hann er til sko,Það er lítilmennuðu þetta húbrir þúrlað. Ég vann eða því elsku.,100.0,66.67,1,9,0,1,10,1.668,False
6,0.6,bara æði,Það er þeir.,150.0,114.29,0,2,0,1,2,8.1612,False
7,1.41,ókei takk sömuleiðis bæ,OK. Takk svo líst. Bye.,125.0,80.0,0,4,0,1,4,4.0034,False
8,6.0,það er maður á deildinni minni sem er frá rúanda og hann er að kvarta yfir því að það sé of heitt hérna,Það er maðra dillðinni minnið sem ég frá róanta og hann er að klart í fyrir þið að ég svo að þeitina.,69.57,35.8,7,15,1,0,23,2.5343,False
9,0.54,já ókei,ég ok.,100.0,83.33,0,2,0,0,2,7.3987,False
10,2.22,margt smátt er gott sko,Mátt smátt er! Það skri!,80.0,57.89,1,4,0,0,5,3.1491,False
11,0.39,já,Yeah.,100.0,250.0,0,1,0,0,1,9.509,False
12,25.02,skilurðu sem hann fékk og hann átti að forrita tekur róbót já allavegana skiptir ekki öllu máli hann fékk allavegana svona hérna bíl vélknúin bíl og hérna hann var sem sagt látinn forrita fyrir hann og já hann og í kóðanum sem hann fékk þá var fallið reikna púls breidd í einu orði náttúrlega,"skilvöð sem að fjærk og hann að það forrðið það. Það er robot. Það er þannig. Skilvöð er þannig. Hann fjærk að hann að svona hérna bíl og svona vjelknún bíl og hérna, hann mað þess að sagt láttinnst forrðið það fyrir þann. Og hann og í kóðinn að mað svona fjærk það var fatlíð. Rækna puls breitt. Ég nórðinn að labið.",88.89,53.97,14,40,0,8,54,1.6946,False
